GaussianNB 0.436 0.449 0.503 0.424
"Decision Tree" 0.562 0.485 0.475 0.476
"K-nearest neighbors" 0.542 0.426 0.381 0.357
"Logistic Regression" 0.695 0.645 0.621 0.626
Svm 0.753 0.748 0.677 0.698
"Neural Network" 0.752 0.733 0.682 0.694
