GaussianNB 0.891 0.887 0.887 0.887
"Decision Tree" 0.837 0.832 0.832 0.831
"K-nearest neighbors" 0.868 0.866 0.865 0.865
"Logistic Regression" 0.889 0.886 0.885 0.885
Svm 0.894 0.89 0.89 0.89
"Neural Network" 0.892 0.889 0.89 0.889
