GaussianNB 0.779 0.702 0.672 0.679
"Decision Tree" 0.729 0.622 0.622 0.621
"K-nearest neighbors" 0.764 0.697 0.618 0.64
"Logistic Regression" 0.798 0.713 0.692 0.698
Svm 0.839 0.752 0.743 0.745
"Neural Network" 0.841 0.761 0.758 0.759
